filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
FAR09416_pass_b2a717df_272.fast5	45884a62-4c17-4468-8a1e-edb2563043bd	b2a717df255266c1428d6ef9ef7f36db102942b3	0	508	4	32856.332250	3.391500	2713	TRUE	32856.394750	2663	3.329000	1055	16.083302	2.958121	73.975716	9.033900	73.975716	9.033900
FAR09416_pass_b2a717df_72.fast5	6ea5959b-79ac-49c8-b143-88584d1651cb	b2a717df255266c1428d6ef9ef7f36db102942b3	1	353	1	8185.960500	1.936500	1549	TRUE	8186.026750	1496	1.870250	832	13.056149	3.138683	69.373535	8.692999	69.373535	8.692999
FAR09416_pass_b2a717df_430.fast5	8aa9403f-c29c-40f5-98e4-cad6646068f6	b2a717df255266c1428d6ef9ef7f36db102942b3	2	17	4	53688.267500	12.903500	10322	TRUE	53688.332500	10270	12.838500	5352	10.344491	3.083739	79.771049	9.033900	79.771049	9.033900
FAR09416_pass_b2a717df_375.fast5	eaeb712f-faaf-4b0c-af1b-dff1a38f6738	b2a717df255266c1428d6ef9ef7f36db102942b3	11	469	4	46448.918000	8.068000	6454	TRUE	46448.946750	6431	8.039250	2928	17.537045	3.097169	74.827972	9.545254	74.827972	9.545254
FAR09416_pass_b2a717df_270.fast5	4659d031-6034-4df8-9095-331e8c525662	b2a717df255266c1428d6ef9ef7f36db102942b3	19	61	3	32589.953500	5.607000	4485	TRUE	32589.974750	4468	5.585750	2250	14.863331	3.157011	70.055344	9.033900	70.055344	9.033900
FAR09416_pass_b2a717df_43.fast5	de146ed2-6f8f-4359-aade-4b85bd745e4b	b2a717df255266c1428d6ef9ef7f36db102942b3	29	211	2	4860.843750	1.379000	1103	TRUE	4860.851250	1097	1.371500	712	9.484462	3.186108	73.805267	8.181646	73.805267	8.181646
FAR09416_pass_b2a717df_979.fast5	5cdb1031-11a3-439c-8fed-b61f7c9cd06b	b2a717df255266c1428d6ef9ef7f36db102942b3	35	216	3	142601.836250	9.935750	7948	TRUE	142601.873750	7918	9.898250	3845	14.651821	3.141137	82.327812	9.886155	82.327812	9.886155
FAR09416_pass_b2a717df_844.fast5	8e98ab80-7d46-4038-8237-cbab8f7eea62	b2a717df255266c1428d6ef9ef7f36db102942b3	36	271	3	116096.970000	6.679000	5343	TRUE	116097.001250	5318	6.647750	3043	10.167685	3.150430	68.009933	8.181646	68.009933	8.181646
FAR09416_pass_b2a717df_393.fast5	64298b57-3ba4-4ced-9641-da11bdf5f8a2	b2a717df255266c1428d6ef9ef7f36db102942b3	39	319	2	48741.778250	12.175000	9740	TRUE	48741.852000	9681	12.101250	4661	12.112170	3.050238	68.521286	8.522548	68.521286	8.522548
FAR09416_pass_b2a717df_87.fast5	b3577ecb-7ffb-4a16-8a0d-ddcec5bd0056	b2a717df255266c1428d6ef9ef7f36db102942b3	41	472	2	9884.311000	8.293750	6635	TRUE	9884.327250	6622	8.277500	3261	13.946588	3.094884	71.759850	8.863450	71.759850	8.863450
FAR09416_pass_b2a717df_944.fast5	091affcc-244d-44d2-947d-a7afd38fa892	b2a717df255266c1428d6ef9ef7f36db102942b3	44	157	3	135688.911250	11.523750	9219	TRUE	135688.947500	9190	11.487500	4234	9.953937	2.865697	51.135288	8.011195	51.135288	8.011195
FAR09416_pass_b2a717df_246.fast5	7138b598-9bed-410a-aa47-773bd04dae1c	b2a717df255266c1428d6ef9ef7f36db102942b3	48	81	1	29605.593250	8.837250	7069	TRUE	29605.639500	7032	8.791000	3283	14.351578	3.054633	80.793755	9.033900	80.793755	9.033900
FAR09416_pass_b2a717df_946.fast5	c794e57a-634e-48ec-aaa5-085e896d0db9	b2a717df255266c1428d6ef9ef7f36db102942b3	53	180	3	136059.735250	9.627250	7701	TRUE	136059.771500	7672	9.591000	3510	13.923107	3.043657	86.248184	10.227057	86.248184	10.227057
FAR09416_pass_b2a717df_914.fast5	4c468baa-2332-492c-8dc1-bc0df3b09f0a	b2a717df255266c1428d6ef9ef7f36db102942b3	55	22	3	129674.381750	56.546000	45236	TRUE	129674.455500	45177	56.472250	22828	12.637981	3.119074	66.987228	8.692999	66.987228	8.692999
FAR09416_pass_b2a717df_369.fast5	54d3fb1e-b38d-448a-ad45-b2f048285095	b2a717df255266c1428d6ef9ef7f36db102942b3	63	169	2	45674.654750	4.287750	3430	TRUE	45674.663500	3423	4.279000	1644	14.837066	3.097785	75.339325	9.886155	75.339325	9.886155
FAR09416_pass_b2a717df_686.fast5	2a72da33-c592-4033-92e5-53922f638346	b2a717df255266c1428d6ef9ef7f36db102942b3	65	257	2	89799.032750	24.610750	19688	TRUE	89799.060250	19666	24.583250	8251	16.186594	2.997858	84.032318	10.397509	84.032318	10.397509
FAR09416_pass_b2a717df_793.fast5	21ef0bd1-c2b3-4f50-94ad-76a5e7c9e865	b2a717df255266c1428d6ef9ef7f36db102942b3	76	292	1	107224.355000	10.339000	8271	TRUE	107224.395000	8239	10.299000	3855	12.447495	3.017559	57.441971	8.181646	57.441971	8.181646
FAR09416_pass_b2a717df_795.fast5	594c9e0e-2987-41c0-a6ce-bfc532cc65d4	b2a717df255266c1428d6ef9ef7f36db102942b3	78	429	2	107535.376000	28.638500	22910	TRUE	107535.426000	22870	28.588500	10570	12.519667	3.028892	77.555183	9.545254	77.555183	9.545254
FAR09416_pass_b2a717df_795.fast5	3461b5ad-99f4-477b-ad84-82a40ab8fba1	b2a717df255266c1428d6ef9ef7f36db102942b3	78	79	4	107674.356750	21.018750	16815	TRUE	107674.394250	16785	20.981250	9004	12.074334	3.147985	78.918793	9.204351	78.918793	9.204351
FAR09416_pass_b2a717df_962.fast5	85bd26bd-5359-45df-a34d-b6ded8d6db2b	b2a717df255266c1428d6ef9ef7f36db102942b3	84	324	4	139067.535250	33.923750	27139	TRUE	139067.554000	27124	33.905000	12748	15.056869	3.095809	78.918793	9.715705	78.918793	9.715705
FAR09416_pass_b2a717df_718.fast5	0729168d-ae37-4b7b-aae2-e7154a043c49	b2a717df255266c1428d6ef9ef7f36db102942b3	89	357	1	94852.720250	44.006000	35204	TRUE	94852.757750	35174	43.968500	16619	18.008003	3.162750	76.532478	9.545254	76.532478	9.545254
FAR09416_pass_b2a717df_7.fast5	3be8df02-afd0-404f-97c4-a9e75293349c	b2a717df255266c1428d6ef9ef7f36db102942b3	95	403	4	802.501750	10.592750	8474	TRUE	802.528000	8453	10.566500	5207	11.070283	3.292626	72.612106	9.374803	72.612106	9.374803
FAR09416_pass_b2a717df_7.fast5	1f9494c6-f5ea-4ee2-b39e-a6b9b3b41dad	b2a717df255266c1428d6ef9ef7f36db102942b3	95	345	4	811.251500	2.735000	2188	TRUE	811.269000	2174	2.717500	1084	16.163956	3.169938	73.464363	9.033900	73.464363	9.033900
FAR09416_pass_b2a717df_552.fast5	99e3e1de-5af1-4df3-bf23-98537fed5732	b2a717df255266c1428d6ef9ef7f36db102942b3	96	335	2	70566.070500	4.288500	3430	TRUE	70566.101750	3405	4.257250	1901	9.424165	3.063947	67.498581	8.011195	67.498581	8.011195
FAR09416_pass_b2a717df_279.fast5	a10bd1bd-8fe6-4bf1-9f0c-df21ceaefc12	b2a717df255266c1428d6ef9ef7f36db102942b3	103	221	1	33758.788250	4.168000	3334	TRUE	33758.840750	3292	4.115500	1690	15.573516	3.157129	71.930305	9.204351	71.930305	9.204351
FAR09416_pass_b2a717df_788.fast5	11c4ca26-8132-4f4f-8263-8154d5517f80	b2a717df255266c1428d6ef9ef7f36db102942b3	104	186	2	106313.737750	12.338250	9870	TRUE	106313.760250	9852	12.315750	4634	13.373978	3.046730	65.623619	8.692999	65.623619	8.692999
FAR09416_pass_b2a717df_391.fast5	e985682a-2d69-46c9-8b7d-9708b5e2683f	b2a717df255266c1428d6ef9ef7f36db102942b3	114	397	2	48447.333250	3.924250	3139	TRUE	48447.398250	3087	3.859250	1408	14.371277	3.028521	72.953011	9.545254	72.953011	9.545254
FAR09416_pass_b2a717df_865.fast5	9fab2d1e-e293-4846-b6af-80c7ab2043d7	b2a717df255266c1428d6ef9ef7f36db102942b3	123	2	2	120062.110500	3.722750	2978	TRUE	120062.149250	2947	3.684000	1347	13.867160	3.025683	75.509773	9.204351	75.509773	9.204351
FAR09416_pass_b2a717df_403.fast5	0a7a7bd3-6289-40b7-9380-25ee503b011e	b2a717df255266c1428d6ef9ef7f36db102942b3	130	145	1	49952.801250	3.316000	2652	TRUE	49952.827500	2631	3.289750	1322	14.476122	3.149511	82.498260	9.033900	82.498260	9.033900
FAR09416_pass_b2a717df_70.fast5	02aaf196-8695-4b90-9d9e-16f29ee89d9f	b2a717df255266c1428d6ef9ef7f36db102942b3	133	20	2	8048.574250	2.590750	2072	TRUE	8048.616750	2038	2.548250	1036	13.729177	3.153937	67.669029	8.181646	67.669029	8.181646
FAR09416_pass_b2a717df_11.fast5	05a9fdd8-0125-4425-b8d4-69ffff22b491	b2a717df255266c1428d6ef9ef7f36db102942b3	146	110	2	1232.294250	1.255500	1004	TRUE	1232.481750	854	1.068000	513	10.744845	3.224480	72.100754	8.522548	72.100754	8.522548
FAR09416_pass_b2a717df_939.fast5	eac58084-e3c4-485e-8750-846335c58e74	b2a717df255266c1428d6ef9ef7f36db102942b3	149	34	4	134931.196250	4.889500	3911	TRUE	134931.223750	3889	4.862000	996	16.459890	2.602330	81.816460	10.056606	81.816460	10.056606
FAR09416_pass_b2a717df_798.fast5	519da6b7-3e38-480b-81c1-67c3791614c5	b2a717df255266c1428d6ef9ef7f36db102942b3	156	311	1	108160.386750	4.156750	3325	TRUE	108160.386750	3325	4.156750	1995	10.522196	3.149753	74.657516	10.056606	74.657516	10.056606
FAR09416_pass_b2a717df_1014.fast5	158fbba3-34fa-4c96-84bc-26c98d9d3629	b2a717df255266c1428d6ef9ef7f36db102942b3	172	500	1	150676.680750	4.490000	3592	TRUE	150676.717000	3563	4.453750	1532	11.300966	2.915868	84.032318	10.738410	84.032318	10.738410
FAR09416_pass_b2a717df_869.fast5	529d5903-f961-47ed-a45f-8179f7ed21bb	b2a717df255266c1428d6ef9ef7f36db102942b3	174	308	1	120750.289750	2.405250	1924	TRUE	120750.306000	1911	2.389000	835	14.489749	2.944244	77.725639	10.227057	77.725639	10.227057
FAR09416_pass_b2a717df_965.fast5	9c6c4447-e17c-40e0-a857-1a1ddafb4c0d	b2a717df255266c1428d6ef9ef7f36db102942b3	175	397	3	139594.321500	0.966750	773	TRUE	139594.409000	703	0.879250	333	12.951343	2.975372	63.237305	8.181646	63.237305	8.181646
FAR09416_pass_b2a717df_476.fast5	02978b7b-0dcc-4650-b759-6aea6e03ca53	b2a717df255266c1428d6ef9ef7f36db102942b3	183	492	1	60039.849250	20.751000	16600	TRUE	60039.849250	16600	20.751000	7721	11.842465	3.035455	77.725639	9.545254	77.725639	9.545254
FAR09416_pass_b2a717df_921.fast5	8d8114f3-f8c5-48c9-94a3-2f43a3bfdc38	b2a717df255266c1428d6ef9ef7f36db102942b3	186	495	4	131160.987750	45.502000	36401	TRUE	131161.012750	36381	45.477000	19585	13.112242	3.202799	84.543671	10.056606	84.543671	10.056606
FAR09416_pass_b2a717df_768.fast5	dc4aa4e5-75e2-4adb-8ec0-d2df6bdcb6e8	b2a717df255266c1428d6ef9ef7f36db102942b3	196	510	3	103139.185750	2.169750	1735	TRUE	103139.225750	1703	2.129750	821	15.131925	3.061186	74.657516	7.670293	74.657516	7.670293
FAR09416_pass_b2a717df_753.fast5	c0609e63-3459-43d9-a945-a864acf3cae5	b2a717df255266c1428d6ef9ef7f36db102942b3	218	45	3	100514.807500	1.859500	1487	TRUE	100514.851250	1452	1.815750	699	10.733679	2.898010	56.760170	8.522548	56.760170	8.522548
FAR09416_pass_b2a717df_525.fast5	a03101b5-2104-4222-ace6-318cd56ee085	b2a717df255266c1428d6ef9ef7f36db102942b3	224	179	1	66731.602000	23.515250	18812	TRUE	66731.635750	18785	23.481500	8722	17.186396	3.112115	72.782555	9.374803	72.782555	9.374803
FAR09416_pass_b2a717df_1072.fast5	72af9286-ba82-4c01-889b-ac92fc6dd863	b2a717df255266c1428d6ef9ef7f36db102942b3	227	477	2	165017.343750	23.083000	18466	TRUE	165017.420000	18405	23.006750	9323	14.411067	3.114227	69.373535	8.011195	69.373535	8.011195
FAR09416_pass_b2a717df_1072.fast5	38b56861-3a1a-457b-8df3-0e22c0dc4aa2	b2a717df255266c1428d6ef9ef7f36db102942b3	227	361	3	164997.499500	2.045000	1636	TRUE	164997.537000	1606	2.007500	453	18.077127	2.645057	80.793755	9.204351	80.793755	9.204351
FAR09416_pass_b2a717df_664.fast5	b14845d7-4772-4a8b-8d94-264da6fcd23f	b2a717df255266c1428d6ef9ef7f36db102942b3	231	167	2	86618.446000	61.891000	49512	TRUE	86618.446000	49512	61.891000	30996	11.044028	3.264699	76.532478	10.056606	76.532478	10.056606
FAR09416_pass_b2a717df_786.fast5	9dc0793e-e342-442d-9cc9-7210f6e1722d	b2a717df255266c1428d6ef9ef7f36db102942b3	236	350	4	106085.115500	5.376000	4300	TRUE	106085.128000	4290	5.363500	2286	11.980244	3.150721	64.430458	8.181646	64.430458	8.181646
FAR09416_pass_b2a717df_685.fast5	fe75a940-2a9e-4ff0-a1fd-d1815995b0f3	b2a717df255266c1428d6ef9ef7f36db102942b3	242	103	1	89742.831750	12.356500	9885	TRUE	89742.841750	9877	12.346500	4566	10.569617	2.965521	68.180382	8.352097	68.180382	8.352097
FAR09416_pass_b2a717df_563.fast5	6dd4414b-5fab-4df7-9657-72e552f6dfba	b2a717df255266c1428d6ef9ef7f36db102942b3	247	383	1	72077.693250	45.183250	36146	TRUE	72077.722000	36123	45.154500	17566	12.869058	3.106109	75.850677	9.545254	75.850677	9.545254
FAR09416_pass_b2a717df_453.fast5	ab69a006-004c-464b-aca2-a8c7a858bb9b	b2a717df255266c1428d6ef9ef7f36db102942b3	248	185	3	56994.351500	13.851000	11080	TRUE	56994.374000	11062	13.828500	6715	11.333716	3.230739	55.737461	7.499842	55.737461	7.499842
FAR09416_pass_b2a717df_894.fast5	a07dd2af-cb61-4246-9a42-7b1322b05cc3	b2a717df255266c1428d6ef9ef7f36db102942b3	276	478	2	125673.333750	6.542000	5233	TRUE	125673.352500	5218	6.523250	2013	15.389343	2.906270	88.634499	10.056606	88.634499	10.056606
FAR09416_pass_b2a717df_922.fast5	971df1f1-fbf1-4eb4-90f4-b5b7c21e5b4c	b2a717df255266c1428d6ef9ef7f36db102942b3	287	119	1	131294.965000	3.060000	2448	TRUE	131294.983750	2433	3.041250	1105	15.299557	3.027632	94.770729	10.397509	94.770729	10.397509
